	Vector time	gfs.168.110.total_high_cloud.comb
571	11.09.2022 10:00:00	59,128379
572	11.09.2022 11:00:00	2,428774
573	11.09.2022 12:00:00	-0,192266
574	11.09.2022 13:00:00	5,477192
575	11.09.2022 14:00:00	73,939249
576	11.09.2022 15:00:00	85,106294
577	11.09.2022 16:00:00	62,467166
578	11.09.2022 17:00:00	88,09605
579	11.09.2022 18:00:00	99,93339
580	11.09.2022 19:00:00	88,726358
581	11.09.2022 20:00:00	100
582	11.09.2022 23:00:00	100,186669
583	12.09.2022 00:00:00	105,094135
584	12.09.2022 01:00:00	100
585	12.09.2022 02:00:00	88,258917
586	12.09.2022 03:00:00	18,499473
587	12.09.2022 04:00:00	37,672632
588	12.09.2022 05:00:00	5,319917
589	12.09.2022 06:00:00	-0,08514
590	12.09.2022 07:00:00	0,699939
591	12.09.2022 08:00:00	2,551456
592	12.09.2022 09:00:00	-0,019915
593	12.09.2022 10:00:00	-4,047528
594	12.09.2022 11:00:00	56,49915
595	12.09.2022 12:00:00	50,468201
596	12.09.2022 13:00:00	9,944524
597	12.09.2022 14:00:00	3,220132
598	12.09.2022 15:00:00	87,262592
599	12.09.2022 16:00:00	70,150554
600	12.09.2022 17:00:00	51,599254
601	12.09.2022 18:00:00	69,309958
602	12.09.2022 19:00:00	1,542293
603	12.09.2022 20:00:00	4,694223
604	12.09.2022 21:00:00	-0,464367
605	12.09.2022 22:00:00	4,084464
606	12.09.2022 23:00:00	3,07533
607	13.09.2022 00:00:00	0,548174
608	13.09.2022 01:00:00	0,910496
609	13.09.2022 02:00:00	0
610	13.09.2022 14:00:00	0,001156
611	13.09.2022 15:00:00	0,53118
612	13.09.2022 16:00:00	10,086467
613	13.09.2022 17:00:00	100
614	13.09.2022 19:00:00	99,99979
615	13.09.2022 20:00:00	80,716597
616	13.09.2022 21:00:00	102,826857
617	13.09.2022 22:00:00	45,139498
618	13.09.2022 23:00:00	19,364036
619	14.09.2022 00:00:00	13,183233
620	14.09.2022 01:00:00	21,220333
621	14.09.2022 02:00:00	70,493274
622	14.09.2022 03:00:00	4,916254
623	14.09.2022 04:00:00	107,185162
624	14.09.2022 05:00:00	100
625	14.09.2022 06:00:00	99,289322
