	Vector time	sun.ele.GFS_168
413	19.08.2022 07:00:00	15,5680883
414	19.08.2022 07:15:00	18,029994
415	19.08.2022 07:30:00	20,4903613
416	19.08.2022 07:45:00	22,9429531
417	19.08.2022 08:00:00	25,3811655
418	19.08.2022 08:15:00	27,7979172
419	19.08.2022 08:30:00	30,1855273
420	19.08.2022 08:45:00	32,5355786
421	19.08.2022 09:00:00	34,8387678
422	19.08.2022 09:15:00	37,0847444
423	19.08.2022 09:30:00	39,2619439
424	19.08.2022 09:45:00	41,3574245
425	19.08.2022 10:00:00	43,3567243
426	19.08.2022 10:15:00	45,2437666
427	19.08.2022 10:30:00	47,0008504
428	19.08.2022 10:45:00	48,6087771
429	19.08.2022 11:00:00	50,047174
430	19.08.2022 11:15:00	51,2950728
431	19.08.2022 11:30:00	52,3317835
432	19.08.2022 11:45:00	53,1380538
433	19.08.2022 12:00:00	53,6974306
434	19.08.2022 12:15:00	53,9976492
435	19.08.2022 12:30:00	54,031809
436	19.08.2022 12:45:00	53,7990884
437	19.08.2022 13:00:00	53,3048314
438	19.08.2022 13:15:00	52,5599854
439	19.08.2022 13:30:00	51,5800238
440	19.08.2022 13:45:00	50,3835875
441	19.08.2022 14:00:00	48,9910962
442	19.08.2022 14:15:00	47,4235249
443	19.08.2022 14:30:00	45,7014519
444	19.08.2022 14:45:00	43,8444065
445	19.08.2022 15:00:00	41,8704837
446	19.08.2022 15:15:00	39,7961724
447	19.08.2022 15:30:00	37,6363344
448	19.08.2022 15:45:00	35,4042814
449	19.08.2022 16:00:00	33,1119078
450	19.08.2022 16:15:00	30,7698503
451	19.08.2022 16:30:00	28,3876551
452	19.08.2022 16:45:00	25,9739409
453	19.08.2022 17:00:00	23,5365522
454	19.08.2022 17:15:00	21,0826986
455	19.08.2022 17:30:00	18,6190816
456	19.08.2022 17:45:00	16,1520075
457	19.08.2022 18:00:00	13,687489
458	19.08.2022 18:15:00	11,2313363
459	19.08.2022 18:30:00	8,7892395
460	19.08.2022 18:45:00	6,366843
461	19.08.2022 19:00:00	3,9698142
462	19.08.2022 19:15:00	1,6039057
463	19.08.2022 19:30:00	-0,7249869
464	19.08.2022 19:45:00	-3,0107727
465	19.08.2022 20:00:00	-5,2471181
466	19.08.2022 20:15:00	-7,4274059
467	19.08.2022 20:30:00	-9,5447016
468	19.08.2022 20:45:00	-11,5917285
469	19.08.2022 21:00:00	-13,5608545
470	19.08.2022 21:15:00	-15,4440942
471	19.08.2022 21:30:00	-17,2331278
472	19.08.2022 21:45:00	-18,9193428
473	19.08.2022 22:00:00	-20,4939011
474	19.08.2022 22:15:00	-21,9478348
475	19.08.2022 22:30:00	-23,2721741
476	19.08.2022 22:45:00	-24,4581065
477	19.08.2022 23:00:00	-25,4971658
478	19.08.2022 23:15:00	-26,3814461
479	19.08.2022 23:30:00	-27,1038294
480	19.08.2022 23:45:00	-27,6582169
481	20.08.2022 00:00:00	-28,0397452
482	20.08.2022 00:15:00	-28,2449723
483	20.08.2022 00:30:00	-28,2720164
484	20.08.2022 00:45:00	-28,1206339
485	20.08.2022 01:00:00	-27,7922304
486	20.08.2022 01:15:00	-27,2898015
487	20.08.2022 01:30:00	-26,6178114
488	20.08.2022 01:45:00	-25,7820196
489	20.08.2022 02:00:00	-24,7892715
490	20.08.2022 02:15:00	-23,6472703
491	20.08.2022 02:30:00	-22,3643465
492	20.08.2022 02:45:00	-20,9492392
493	20.08.2022 03:00:00	-19,4108987
494	20.08.2022 03:15:00	-17,7583179
495	20.08.2022 03:30:00	-16,0003955
496	20.08.2022 03:45:00	-14,145831
497	20.08.2022 04:00:00	-12,2030487
498	20.08.2022 04:15:00	-10,18015
499	20.08.2022 04:30:00	-8,0848873
500	20.08.2022 04:45:00	-5,9246582
501	20.08.2022 05:00:00	-3,7065142
502	20.08.2022 05:15:00	-1,4371827
503	20.08.2022 05:30:00	0,8769012
504	20.08.2022 05:45:00	3,229556
505	20.08.2022 06:00:00	5,6148075
506	20.08.2022 06:15:00	8,0268379
507	20.08.2022 06:30:00	10,4599289
508	20.08.2022 06:45:00	12,9084009
509	20.08.2022 07:00:00	15,3665457
510	20.08.2022 07:15:00	17,8285534
511	20.08.2022 07:30:00	20,2884322
512	20.08.2022 07:45:00	22,73992
