	Vector time	gfs.168.107.total_cloud.comb
550	10.09.2022 02:00:00	101,258398
551	10.09.2022 03:00:00	68,367961
552	10.09.2022 04:00:00	73,560829
553	10.09.2022 05:00:00	100
554	10.09.2022 13:00:00	99,718671
555	10.09.2022 14:00:00	89,64201
556	10.09.2022 15:00:00	98,975651
557	10.09.2022 16:00:00	100,504705
558	10.09.2022 17:00:00	8,08044
559	10.09.2022 18:00:00	35,031198
560	10.09.2022 19:00:00	74,155777
561	10.09.2022 20:00:00	99,394524
562	10.09.2022 21:00:00	97,749822
563	10.09.2022 22:00:00	41,954627
564	10.09.2022 23:00:00	48,471411
565	11.09.2022 00:00:00	-3,88856
566	11.09.2022 01:00:00	-5,628438
567	11.09.2022 02:00:00	-2,071922
568	11.09.2022 03:00:00	0,174091
569	11.09.2022 04:00:00	3,467301
570	11.09.2022 05:00:00	29,961021
571	11.09.2022 06:00:00	30,55458
572	11.09.2022 07:00:00	45,361659
573	11.09.2022 08:00:00	22,099756
574	11.09.2022 09:00:00	106,142457
575	11.09.2022 10:00:00	63,74543
576	11.09.2022 11:00:00	16,308323
577	11.09.2022 12:00:00	12,79342
578	11.09.2022 13:00:00	82,585673
579	11.09.2022 14:00:00	100,738952
580	11.09.2022 15:00:00	89,693577
581	11.09.2022 16:00:00	91,349327
582	11.09.2022 17:00:00	91,567339
583	11.09.2022 18:00:00	99,926504
584	11.09.2022 19:00:00	91,338839
585	11.09.2022 20:00:00	100
586	12.09.2022 02:00:00	99,91146
587	12.09.2022 03:00:00	98,916108
588	12.09.2022 04:00:00	100
589	12.09.2022 07:00:00	99,946554
590	12.09.2022 08:00:00	100
591	12.09.2022 14:00:00	100,129827
592	12.09.2022 15:00:00	99,984972
593	12.09.2022 16:00:00	100,085731
594	12.09.2022 17:00:00	95,95206
595	12.09.2022 18:00:00	92,628544
596	12.09.2022 19:00:00	87,107225
597	12.09.2022 20:00:00	100
598	12.09.2022 23:00:00	99,99958
599	13.09.2022 00:00:00	100,032281
600	13.09.2022 01:00:00	100
601	13.09.2022 05:00:00	99,983021
